ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,ACS Industry yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2022,"2022","04000US48","Texas",937,284.6225570821821,0.13692868253330648,"Austin, TX","16000US4805000","austin-tx",63345,85650,1088,-13.878676470588236,80214,-21.029994764006283,0.16422606059012718
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2022,"2022","04000US48","Texas",2218,424.90587192930155,0.8829252346647869,"Austin, TX","16000US4805000","austin-tx",175981,56397,2202,0.7266121707538601,150505,16.927012391614895,0.38874429283767564
1,"Construction (Group)",2,"Construction",2022,"2022","04000US48","Texas",33958,1956.3215482123585,0.8655267569912876,"Austin, TX","16000US4805000","austin-tx",95024,8063,36104,-5.943939729669843,85314,11.38148486766533,5.951748735879977
2,"Manufacturing (Group)",3,"Manufacturing",2022,"2022","04000US48","Texas",39606,2159.594869414169,0.6947960356119319,"Austin, TX","16000US4805000","austin-tx",150129,10278,39506,0.25312610742672,138225,8.612045577862181,6.94166206588322
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2022,"2022","04000US48","Texas",10184,948.8672193726582,0.7432759372232375,"Austin, TX","16000US4805000","austin-tx",137961,21166,10097,0.8616420719025454,131124,5.214148439644916,1.7849287097650532
4,"Retail Trade (Group)",5,"Retail Trade",2022,"2022","04000US48","Texas",53504,2140.3198359123808,0.8533367809872807,"Austin, TX","16000US4805000","austin-tx",69659,4550,50816,5.289672544080604,63297,10.051029274689164,9.377535908019384
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2022,"2022","04000US48","Texas",17797,1609.437790037254,0.6306224517580684,"Austin, TX","16000US4805000","austin-tx",79976,10390,16697,6.588009822123735,74399,7.496068495544295,3.1192435435672285
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2022,"2022","04000US48","Texas",3323,435.21488945117676,0.6957679816510528,"Austin, TX","16000US4805000","austin-tx",179080,28455,3214,3.3914125700062225,152687,17.285689023950958,0.582415367493055
6,"Information (Group)",8,"Information",2022,"2022","04000US48","Texas",21559,1837.1687456518523,1.9904060464325368,"Austin, TX","16000US4805000","austin-tx",145198,23024,21561,-0.009276007606326239,125846,15.377524911399648,3.778601537099841
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2022,"2022","04000US48","Texas",26448,1759.036383932976,0.9723281821547964,"Austin, TX","16000US4805000","austin-tx",165709,16691,24441,8.211611636185099,150540,10.076391656702539,4.635486499986855
